,key_0,key_1,datetime,values
0,0,0,2009-01-11 00:00:00,
1,1,1,2009-01-12 00:00:00,9.0
2,2,2,2009-01-13 00:00:00,9.0
3,3,3,2009-01-14 00:00:00,9.0
4,4,4,2009-01-15 00:00:00,8.0
5,5,5,2009-01-16 00:00:00,9.0
6,6,6,2009-01-17 00:00:00,9.0
7,7,7,2009-01-18 00:00:00,10.0
8,8,8,2009-01-19 00:00:00,9.0
9,9,9,2009-01-20 00:00:00,9.0
10,10,10,2009-01-21 00:00:00,9.0
11,11,11,2009-01-22 00:00:00,9.0
12,12,12,2009-01-23 00:00:00,9.0
13,13,13,2009-01-24 00:00:00,8.0
14,14,14,2009-01-25 00:00:00,8.0
15,15,15,2009-01-26 00:00:00,7.0
16,16,16,2009-01-27 00:00:00,9.0
17,17,17,2009-01-28 00:00:00,9.0
18,18,18,2009-01-29 00:00:00,9.0
19,19,19,2009-01-30 00:00:00,8.0
20,20,20,2009-01-31 00:00:00,9.0
21,21,21,2009-02-01 00:00:00,9.0
22,22,22,2009-02-02 00:00:00,9.0
23,23,23,2009-02-03 00:00:00,8.0
24,24,24,2009-02-04 00:00:00,8.0
25,25,25,2009-02-05 00:00:00,9.0
26,26,26,2009-02-06 00:00:00,9.0
27,27,27,2009-02-07 00:00:00,8.0
28,28,28,2009-02-08 00:00:00,8.0
29,29,29,2009-02-09 00:00:00,7.0
30,30,30,2009-02-10 00:00:00,8.0
31,31,31,2009-02-11 00:00:00,8.0
32,32,32,2009-02-12 00:00:00,8.0
33,33,33,2009-02-13 00:00:00,8.0
34,34,34,2009-02-14 00:00:00,8.0
35,35,35,2009-02-15 00:00:00,8.0
36,36,36,2009-02-16 00:00:00,8.0
37,37,37,2009-02-17 00:00:00,8.0
38,38,38,2009-02-18 00:00:00,8.0
39,39,39,2009-02-19 00:00:00,8.0
40,40,40,2009-02-20 00:00:00,8.0
41,41,41,2009-02-21 00:00:00,9.0
42,42,42,2009-02-22 00:00:00,8.0
43,43,43,2009-02-23 00:00:00,9.0
44,44,44,2009-02-24 00:00:00,9.0
45,45,45,2009-02-25 00:00:00,9.0
46,46,46,2009-02-26 00:00:00,8.0
47,47,47,2009-02-27 00:00:00,8.0
48,48,48,2009-02-28 00:00:00,9.0
49,49,49,2009-03-01 00:00:00,8.0
50,50,50,2009-03-02 00:00:00,8.0
51,51,51,2009-03-03 00:00:00,8.0
52,52,52,2009-03-04 00:00:00,8.0
53,53,53,2009-03-05 00:00:00,7.0
54,54,54,2009-03-06 00:00:00,9.0
55,55,55,2009-03-07 00:00:00,9.0
56,56,56,2009-03-08 00:00:00,9.0
57,57,57,2009-03-09 00:00:00,9.0
58,58,58,2009-03-10 00:00:00,8.0
59,59,59,2009-03-11 00:00:00,8.0
60,60,60,2009-03-12 00:00:00,8.0
61,61,61,2009-03-13 00:00:00,8.0
62,62,62,2009-03-14 00:00:00,8.0
63,63,63,2009-03-15 00:00:00,8.0
64,64,64,2009-03-16 00:00:00,9.0
65,65,65,2009-03-17 00:00:00,9.0
66,66,66,2009-03-18 00:00:00,8.0
67,67,67,2009-03-19 00:00:00,8.0
68,68,68,2009-03-20 00:00:00,8.0
69,69,69,2009-03-21 00:00:00,8.0
70,70,70,2009-03-22 00:00:00,9.0
71,71,71,2009-03-23 00:00:00,9.0
72,72,72,2009-03-24 00:00:00,8.0
73,73,73,2009-03-25 00:00:00,8.0
74,74,74,2009-03-26 00:00:00,9.0
75,75,75,2009-03-27 00:00:00,8.0
76,76,76,2009-03-28 00:00:00,8.0
77,77,77,2009-03-29 00:00:00,8.0
78,78,78,2009-03-30 00:00:00,8.0
79,79,79,2009-03-31 00:00:00,8.0
80,80,80,2009-04-01 00:00:00,8.0
81,81,81,2009-04-02 00:00:00,8.0
82,82,82,2009-04-03 00:00:00,8.0
83,83,83,2009-04-04 00:00:00,8.0
84,84,84,2009-04-05 00:00:00,9.0
85,85,85,2009-04-06 00:00:00,9.0
86,86,86,2009-04-07 00:00:00,8.0
87,87,87,2009-04-08 00:00:00,8.0
88,88,88,2009-04-09 00:00:00,8.0
89,89,89,2009-04-10 00:00:00,8.0
90,90,90,2009-04-11 00:00:00,10.0
91,91,91,2009-04-12 00:00:00,8.0
92,92,92,2009-04-13 00:00:00,8.0
93,93,93,2009-04-14 00:00:00,8.0
94,94,94,2009-04-15 00:00:00,8.0
95,95,95,2009-04-16 00:00:00,9.0
96,96,96,2009-04-17 00:00:00,8.0
97,97,97,2009-04-18 00:00:00,11.0
