,Date,variable,value
0,1/16/2009,12:00 AM,2013-03-09 00:00:00
1,1/17/2009,12:00 AM,2013-03-09 00:00:00
2,1/18/2009,12:00 AM,2013-03-10 00:00:00
3,1/19/2009,12:00 AM,2013-03-09 00:00:00
4,1/16/2009,12:30 AM,9
5,1/17/2009,12:30 AM,9
6,1/18/2009,12:30 AM,9
7,1/19/2009,12:30 AM,9
8,1/16/2009,1:00 AM,9
9,1/17/2009,1:00 AM,9
10,1/18/2009,1:00 AM,10
11,1/19/2009,1:00 AM,9
12,1/16/2009,1:30 AM,10
13,1/17/2009,1:30 AM,9
14,1/18/2009,1:30 AM,10
15,1/19/2009,1:30 AM,9
16,1/16/2009,2:00 AM,10
17,1/17/2009,2:00 AM,9
18,1/18/2009,2:00 AM,10
19,1/19/2009,2:00 AM,9
20,1/16/2009,2:30 AM,9
21,1/17/2009,2:30 AM,9
22,1/18/2009,2:30 AM,10
23,1/19/2009,2:30 AM,9
24,1/16/2009,3:00 AM,9
25,1/17/2009,3:00 AM,9
26,1/18/2009,3:00 AM,10
27,1/19/2009,3:00 AM,9
28,1/16/2009,3:30 AM,10
29,1/17/2009,3:30 AM,10
30,1/18/2009,3:30 AM,10
31,1/19/2009,3:30 AM,9
32,1/16/2009,4:00 AM,9
33,1/17/2009,4:00 AM,9
34,1/18/2009,4:00 AM,10
35,1/19/2009,4:00 AM,9
36,1/16/2009,4:30 AM,10
37,1/17/2009,4:30 AM,10
38,1/18/2009,4:30 AM,10
39,1/19/2009,4:30 AM,9
40,1/16/2009,5:00 AM,9
41,1/17/2009,5:00 AM,9
42,1/18/2009,5:00 AM,10
43,1/19/2009,5:00 AM,9
44,1/16/2009,5:30 AM,10
45,1/17/2009,5:30 AM,9
46,1/18/2009,5:30 AM,10
47,1/19/2009,5:30 AM,9
48,1/16/2009,6:00 AM,10
49,1/17/2009,6:00 AM,10
50,1/18/2009,6:00 AM,10
51,1/19/2009,6:00 AM,9
52,1/16/2009,6:30 AM,10
53,1/17/2009,6:30 AM,10
54,1/18/2009,6:30 AM,10
55,1/19/2009,6:30 AM,9
56,1/16/2009,7:00 AM,10
57,1/17/2009,7:00 AM,10
58,1/18/2009,7:00 AM,10
59,1/19/2009,7:00 AM,9
60,1/16/2009,7:30 AM,13
61,1/17/2009,7:30 AM,10
62,1/18/2009,7:30 AM,10
63,1/19/2009,7:30 AM,9
64,1/16/2009,8:00 AM,23
65,1/17/2009,8:00 AM,10
66,1/18/2009,8:00 AM,10
67,1/19/2009,8:00 AM,9
68,1/16/2009,8:30 AM,24
69,1/17/2009,8:30 AM,7
70,1/18/2009,8:30 AM,6
71,1/19/2009,8:30 AM,5
72,1/16/2009,9:00 AM,24
73,1/17/2009,9:00 AM,7
