,index,datetime,values
0,0,2009-01-16 00:00:00,2013-03-09 00:00:00
1,1,2009-01-17 00:00:00,2013-03-09 00:00:00
2,2,2009-01-18 00:00:00,2013-03-10 00:00:00
3,3,2009-01-19 00:00:00,2013-03-09 00:00:00
4,4,2009-01-16 00:30:00,9
5,5,2009-01-17 00:30:00,9
6,6,2009-01-18 00:30:00,9
7,7,2009-01-19 00:30:00,9
8,8,2009-01-16 01:00:00,9
9,9,2009-01-17 01:00:00,9
10,10,2009-01-18 01:00:00,10
11,11,2009-01-19 01:00:00,9
12,12,2009-01-16 01:30:00,10
13,13,2009-01-17 01:30:00,9
14,14,2009-01-18 01:30:00,10
15,15,2009-01-19 01:30:00,9
16,16,2009-01-16 02:00:00,10
17,17,2009-01-17 02:00:00,9
18,18,2009-01-18 02:00:00,10
19,19,2009-01-19 02:00:00,9
20,20,2009-01-16 02:30:00,9
21,21,2009-01-17 02:30:00,9
22,22,2009-01-18 02:30:00,10
23,23,2009-01-19 02:30:00,9
24,24,2009-01-16 03:00:00,9
25,25,2009-01-17 03:00:00,9
26,26,2009-01-18 03:00:00,10
27,27,2009-01-19 03:00:00,9
28,28,2009-01-16 03:30:00,10
29,29,2009-01-17 03:30:00,10
30,30,2009-01-18 03:30:00,10
31,31,2009-01-19 03:30:00,9
32,32,2009-01-16 04:00:00,9
33,33,2009-01-17 04:00:00,9
34,34,2009-01-18 04:00:00,10
35,35,2009-01-19 04:00:00,9
36,36,2009-01-16 04:30:00,10
37,37,2009-01-17 04:30:00,10
38,38,2009-01-18 04:30:00,10
39,39,2009-01-19 04:30:00,9
40,40,2009-01-16 05:00:00,9
41,41,2009-01-17 05:00:00,9
42,42,2009-01-18 05:00:00,10
43,43,2009-01-19 05:00:00,9
44,44,2009-01-16 05:30:00,10
45,45,2009-01-17 05:30:00,9
46,46,2009-01-18 05:30:00,10
47,47,2009-01-19 05:30:00,9
48,48,2009-01-16 06:00:00,10
49,49,2009-01-17 06:00:00,10
50,50,2009-01-18 06:00:00,10
51,51,2009-01-19 06:00:00,9
52,52,2009-01-16 06:30:00,10
53,53,2009-01-17 06:30:00,10
54,54,2009-01-18 06:30:00,10
55,55,2009-01-19 06:30:00,9
