,Date,variable,value
0,Date,12:00 AM,12:00 AM
1,1/11/2009,12:00 AM,
2,1/12/2009,12:00 AM,9
3,1/13/2009,12:00 AM,9
4,1/14/2009,12:00 AM,9
5,1/15/2009,12:00 AM,8
6,1/16/2009,12:00 AM,9
7,1/17/2009,12:00 AM,9
8,1/18/2009,12:00 AM,10
9,1/19/2009,12:00 AM,9
10,1/20/2009,12:00 AM,9
11,1/21/2009,12:00 AM,9
12,1/22/2009,12:00 AM,9
13,1/23/2009,12:00 AM,9
14,1/24/2009,12:00 AM,8
15,1/25/2009,12:00 AM,8
16,1/26/2009,12:00 AM,7
17,1/27/2009,12:00 AM,9
18,1/28/2009,12:00 AM,9
19,1/29/2009,12:00 AM,9
20,1/30/2009,12:00 AM,8
21,1/31/2009,12:00 AM,9
22,2/1/2009,12:00 AM,9
23,2/2/2009,12:00 AM,9
24,2/3/2009,12:00 AM,8
25,2/4/2009,12:00 AM,8
26,2/5/2009,12:00 AM,9
27,2/6/2009,12:00 AM,9
28,2/7/2009,12:00 AM,8
29,2/8/2009,12:00 AM,8
30,2/9/2009,12:00 AM,7
31,2/10/2009,12:00 AM,8
32,2/11/2009,12:00 AM,8
33,2/12/2009,12:00 AM,8
34,2/13/2009,12:00 AM,8
35,2/14/2009,12:00 AM,8
36,2/15/2009,12:00 AM,8
37,2/16/2009,12:00 AM,8
38,2/17/2009,12:00 AM,8
39,2/18/2009,12:00 AM,8
40,2/19/2009,12:00 AM,8
41,2/20/2009,12:00 AM,8
42,2/21/2009,12:00 AM,9
43,2/22/2009,12:00 AM,8
44,2/23/2009,12:00 AM,9
45,2/24/2009,12:00 AM,9
46,2/25/2009,12:00 AM,9
47,2/26/2009,12:00 AM,8
48,2/27/2009,12:00 AM,8
49,2/28/2009,12:00 AM,9
50,3/1/2009,12:00 AM,8
51,3/2/2009,12:00 AM,8
52,3/3/2009,12:00 AM,8
53,3/4/2009,12:00 AM,8
54,3/5/2009,12:00 AM,7
55,3/6/2009,12:00 AM,9
56,3/7/2009,12:00 AM,9
57,3/8/2009,12:00 AM,9
58,3/9/2009,12:00 AM,9
59,3/10/2009,12:00 AM,8
60,3/11/2009,12:00 AM,8
61,3/12/2009,12:00 AM,8
62,3/13/2009,12:00 AM,8
63,3/14/2009,12:00 AM,8
64,3/15/2009,12:00 AM,8
65,3/16/2009,12:00 AM,9
66,3/17/2009,12:00 AM,9
67,3/18/2009,12:00 AM,8
68,3/19/2009,12:00 AM,8
69,3/20/2009,12:00 AM,8
70,3/21/2009,12:00 AM,8
71,3/22/2009,12:00 AM,9
72,3/23/2009,12:00 AM,9
73,3/24/2009,12:00 AM,8
74,3/25/2009,12:00 AM,8
75,3/26/2009,12:00 AM,9
76,3/27/2009,12:00 AM,8
77,3/28/2009,12:00 AM,8
78,3/29/2009,12:00 AM,8
79,3/30/2009,12:00 AM,8
80,3/31/2009,12:00 AM,8
81,4/1/2009,12:00 AM,8
82,4/2/2009,12:00 AM,8
83,4/3/2009,12:00 AM,8
84,4/4/2009,12:00 AM,8
85,4/5/2009,12:00 AM,9
86,4/6/2009,12:00 AM,9
87,4/7/2009,12:00 AM,8
88,4/8/2009,12:00 AM,8
89,4/9/2009,12:00 AM,8
90,4/10/2009,12:00 AM,8
91,4/11/2009,12:00 AM,10
92,4/12/2009,12:00 AM,8
93,4/13/2009,12:00 AM,8
94,4/14/2009,12:00 AM,8
95,4/15/2009,12:00 AM,8
96,4/16/2009,12:00 AM,9
97,4/17/2009,12:00 AM,8
98,4/18/2009,12:00 AM,11
99,4/19/2009,12:00 AM,10
100,4/20/2009,12:00 AM,10
101,4/21/2009,12:00 AM,9
102,4/22/2009,12:00 AM,8
103,4/23/2009,12:00 AM,8
104,4/24/2009,12:00 AM,9
105,4/25/2009,12:00 AM,13
106,4/26/2009,12:00 AM,13
107,4/27/2009,12:00 AM,15
108,4/28/2009,12:00 AM,21
109,4/29/2009,12:00 AM,20
110,4/30/2009,12:00 AM,9
111,5/1/2009,12:00 AM,9
112,5/2/2009,12:00 AM,16
113,5/3/2009,12:00 AM,12
114,5/4/2009,12:00 AM,8
115,5/5/2009,12:00 AM,9
116,5/6/2009,12:00 AM,8
117,5/7/2009,12:00 AM,10
118,5/8/2009,12:00 AM,10
119,5/9/2009,12:00 AM,17
120,5/10/2009,12:00 AM,15
121,5/11/2009,12:00 AM,8
122,5/12/2009,12:00 AM,7
123,5/13/2009,12:00 AM,7
124,5/14/2009,12:00 AM,8
125,5/15/2009,12:00 AM,17
126,5/16/2009,12:00 AM,16
127,5/17/2009,12:00 AM,16
128,5/18/2009,12:00 AM,8
129,5/19/2009,12:00 AM,8
130,5/20/2009,12:00 AM,8
131,5/21/2009,12:00 AM,10
132,5/22/2009,12:00 AM,19
133,5/23/2009,12:00 AM,21
134,5/24/2009,12:00 AM,18
135,5/25/2009,12:00 AM,16
136,5/26/2009,12:00 AM,12
137,5/27/2009,12:00 AM,8
138,5/28/2009,12:00 AM,16
139,5/29/2009,12:00 AM,17
140,5/30/2009,12:00 AM,17
141,5/31/2009,12:00 AM,14
142,6/1/2009,12:00 AM,10
143,6/2/2009,12:00 AM,17
144,6/3/2009,12:00 AM,17
145,6/4/2009,12:00 AM,17
146,6/5/2009,12:00 AM,9
147,6/6/2009,12:00 AM,9
148,6/7/2009,12:00 AM,14
149,6/8/2009,12:00 AM,11
150,6/9/2009,12:00 AM,22
151,6/10/2009,12:00 AM,16
152,6/11/2009,12:00 AM,17
153,6/12/2009,12:00 AM,25
154,6/13/2009,12:00 AM,22
155,6/14/2009,12:00 AM,25
156,6/15/2009,12:00 AM,13
157,6/16/2009,12:00 AM,18
158,6/17/2009,12:00 AM,17
159,6/18/2009,12:00 AM,13
160,6/19/2009,12:00 AM,18
161,6/20/2009,12:00 AM,27
162,6/21/2009,12:00 AM,24
163,6/22/2009,12:00 AM,17
164,6/23/2009,12:00 AM,19
165,6/24/2009,12:00 AM,22
166,6/25/2009,12:00 AM,25
167,6/26/2009,12:00 AM,24
168,6/27/2009,12:00 AM,27
169,6/28/2009,12:00 AM,17
170,6/29/2009,12:00 AM,19
171,6/30/2009,12:00 AM,23
172,7/1/2009,12:00 AM,20
173,7/2/2009,12:00 AM,22
174,7/3/2009,12:00 AM,19
175,7/4/2009,12:00 AM,17
